,50527,50548,50557,50564,50603
1961,22.166666666666668,23.5,15.583333333333334,18.416666666666668,23.833333333333332
1962,22.666666666666668,20.833333333333332,15.75,17.75,24.583333333333332
1963,22.583333333333332,20.666666666666668,17.25,15.916666666666666,25.166666666666668
1964,21.75,22.75,20.416666666666668,19.666666666666668,24.666666666666668
1965,22.25,22.166666666666668,18.833333333333332,20.666666666666668,25.75
1966,21.916666666666668,21.083333333333332,18.75,20.916666666666668,25.0
1967,23.166666666666668,26.416666666666668,20.833333333333332,19.833333333333332,25.0
1968,21.333333333333332,25.5,19.166666666666668,19.5,23.416666666666668
1969,21.25,26.083333333333332,20.75,19.166666666666668,24.0
1970,22.0,23.25,19.0,21.416666666666668,24.833333333333332
1971,20.5,21.75,20.083333333333332,19.25,24.25
1972,20.5,19.0,18.416666666666668,18.416666666666668,23.166666666666668
1973,22.166666666666668,21.75,20.916666666666668,21.25,24.083333333333332
1974,23.0,22.583333333333332,22.0,19.166666666666668,25.25
1975,23.333333333333332,22.0,21.5,20.416666666666668,24.583333333333332
1976,23.416666666666668,22.333333333333332,22.916666666666668,20.25,25.416666666666668
1977,21.75,23.25,21.833333333333332,21.25,24.583333333333332
1978,22.25,23.583333333333332,22.25,20.333333333333332,25.083333333333332
1979,19.5,23.333333333333332,21.333333333333332,19.583333333333332,23.416666666666668
1980,21.083333333333332,22.333333333333332,19.583333333333332,19.333333333333332,24.833333333333332
1981,20.916666666666668,23.0,21.166666666666668,19.583333333333332,24.75
1982,20.583333333333332,19.25,19.583333333333332,19.666666666666668,23.916666666666668
1983,18.75,18.75,19.25,17.666666666666668,23.666666666666668
1984,19.5,15.583333333333334,19.333333333333332,17.25,23.833333333333332
1985,20.833333333333332,21.666666666666668,19.916666666666668,18.75,25.333333333333332
1986,22.5,20.5,20.916666666666668,20.583333333333332,26.083333333333332
1987,19.333333333333332,19.666666666666668,19.416666666666668,18.5,24.416666666666668
1988,21.416666666666668,22.166666666666668,20.75,18.166666666666668,25.5
1989,19.833333333333332,23.083333333333332,20.916666666666668,20.666666666666668,25.083333333333332
1990,20.333333333333332,21.666666666666668,19.0,17.75,24.083333333333332
1991,17.166666666666668,20.416666666666668,18.583333333333332,17.25,24.333333333333332
1992,19.916666666666668,19.5,18.083333333333332,16.166666666666668,23.583333333333332
1993,20.166666666666668,18.833333333333332,19.083333333333332,17.5,24.416666666666668
1994,20.916666666666668,19.583333333333332,20.666666666666668,18.083333333333332,24.583333333333332
1995,20.833333333333332,20.833333333333332,20.5,18.333333333333332,25.916666666666668
1996,19.5,21.666666666666668,21.916666666666668,18.166666666666668,23.416666666666668
1997,20.416666666666668,20.916666666666668,20.75,18.333333333333332,22.666666666666668
1998,18.75,20.25,19.0,16.916666666666668,22.166666666666668
1999,18.416666666666668,22.25,20.416666666666668,19.666666666666668,22.083333333333332
2000,18.166666666666668,23.583333333333332,20.5,21.166666666666668,22.666666666666668
2001,18.5,23.25,21.25,19.5,25.0
2002,18.333333333333332,23.25,20.166666666666668,17.333333333333332,25.25
2003,16.75,21.583333333333332,19.916666666666668,17.5,23.75
2004,18.666666666666668,24.0,19.583333333333332,19.166666666666668,25.333333333333332
2005,17.083333333333332,20.5,20.583333333333332,19.916666666666668,24.5
2006,18.0,19.75,20.833333333333332,19.833333333333332,23.583333333333332
2007,17.166666666666668,22.166666666666668,21.416666666666668,21.333333333333332,23.916666666666668
2008,15.083333333333334,19.75,20.166666666666668,19.583333333333332,21.333333333333332
2009,17.5,18.833333333333332,19.166666666666668,18.25,22.583333333333332
2010,17.5,19.166666666666668,19.583333333333332,17.833333333333332,21.25
2011,22.083333333333332,21.083333333333332,21.916666666666668,20.666666666666668,25.083333333333332
2012,21.333333333333332,20.166666666666668,17.666666666666668,14.666666666666666,23.166666666666668
2013,20.5,18.916666666666668,16.166666666666668,13.25,23.0
2014,22.666666666666668,18.666666666666668,18.25,16.583333333333332,25.666666666666668
2015,20.75,18.416666666666668,18.916666666666668,15.083333333333334,23.25
